==> dp8rd2-1.log <==
vol=/root/gluster/dt8, bs=2M, separately_count=1, 341835776.000 Bytes/s, 326.000 MB/s, 326.000 MB/s
vol=/root/gluster/dt8, bs=4M, separately_count=1, 357564416.000 Bytes/s, 341.000 MB/s, 341.000 MB/s
vol=/root/gluster/dt8, bs=8M, separately_count=1, 359661568.000 Bytes/s, 343.000 MB/s, 343.000 MB/s
vol=/root/gluster/dt8, bs=16M, separately_count=1, 349175808.000 Bytes/s, 333.000 MB/s, 333.000 MB/s
vol=/root/gluster/dt8, bs=32M, separately_count=1, 327155712.000 Bytes/s, 312.000 MB/s, 312.000 MB/s
vol=/root/gluster/dt8, bs=64M, separately_count=1, 328204288.000 Bytes/s, 313.000 MB/s, 313.000 MB/s
vol=/root/gluster/dt8, bs=128M, separately_count=1, 329252864.000 Bytes/s, 314.000 MB/s, 314.000 MB/s
vol=/root/gluster/dt8, bs=256M, separately_count=1, 329252864.000 Bytes/s, 314.000 MB/s, 314.000 MB/s
vol=/root/gluster/dt8, bs=512M, separately_count=1, 337641472.000 Bytes/s, 322.000 MB/s, 322.000 MB/s

==> dt8-8.log <==
vol=/root/gluster/dt8, bs=1k, separately_count=8, 2490368.000 Bytes/s, 2.375 MB/s, 19.000 MB/s
vol=/root/gluster/dt8, bs=2k, separately_count=8, 5072486.400 Bytes/s, 4.838 MB/s, 38.700 MB/s
vol=/root/gluster/dt8, bs=4k, separately_count=8, 10079436.800 Bytes/s, 9.613 MB/s, 76.900 MB/s
vol=/root/gluster/dt8, bs=8k, separately_count=8, 19582156.800 Bytes/s, 18.675 MB/s, 149.400 MB/s
vol=/root/gluster/dt8, bs=16k, separately_count=8, 40960000.000 Bytes/s, 39.062 MB/s, 312.500 MB/s
vol=/root/gluster/dt8, bs=32k, separately_count=8, 79062630.400 Bytes/s, 75.400 MB/s, 603.200 MB/s
vol=/root/gluster/dt8, bs=64k, separately_count=8, 134873088.000 Bytes/s, 128.625 MB/s, 1029.000 MB/s
